,,0.0,
Negative,0,2.49994036022,9
Very Negative,10,14.0769532784,9
Overwhelmingly Negative,12,15.3135313531,18
Mostly Negative,20,30.4056071054,39
Mixed,40,57.0271165617,69
Mostly Positive,70,74.6880766372,79
Very Positive,100,88.8494429207,99
Positive,100,95.7562096844,97
Overwhelmingly Positive,95,96.2014563107,99
